step;tokens;lr;loss
7620;59706;0.000725;2.332542
7640;59702;0.000724;2.338256
7660;59654;0.000723;2.336225
7680;59686;0.000722;2.352050
7700;59678;0.000721;2.347618
7720;59699;0.000720;2.341349
7740;59735;0.000719;2.344976
7760;59672;0.000718;2.351283
7780;59711;0.000717;2.311574
7800;59656;0.000716;2.316993
7820;59671;0.000715;2.317663
7840;59733;0.000714;2.321765
7860;59659;0.000713;2.323193
7880;59607;0.000712;2.328932
7900;59632;0.000712;2.325421
7920;59603;0.000711;2.336623
7940;59590;0.000710;2.342706
7960;59548;0.000709;2.344044
7980;59652;0.000708;2.339069
8000;59667;0.000707;2.304108
8020;53037;0.000706;2.305477
8040;59595;0.000705;2.314321
8060;59563;0.000704;2.313549
8080;59581;0.000704;2.315539
8100;59581;0.000703;2.319901
8120;59528;0.000702;2.331224
8140;59644;0.000701;2.324548
8160;59642;0.000700;2.331058
8180;59565;0.000699;2.331559
8200;59610;0.000698;2.334077
8220;59634;0.000698;2.344208
8240;59570;0.000697;2.300103
8260;59561;0.000696;2.304614
8280;59606;0.000695;2.306528
8300;59615;0.000694;2.306373
8320;59588;0.000693;2.311155
8340;59588;0.000693;2.318061
8360;59617;0.000692;2.312346
8380;59577;0.000691;2.326555
8400;59549;0.000690;2.326194
8420;59554;0.000689;2.325136
8440;59564;0.000688;2.324010
8460;59506;0.000688;2.336171
8480;59655;0.000687;2.292051
8500;59580;0.000686;2.299425
8520;53408;0.000685;2.297517
8540;59583;0.000684;2.301877
8560;59570;0.000684;2.301882
8580;59554;0.000683;2.311321
8600;59643;0.000682;2.311349
8620;59556;0.000681;2.313768
8640;59569;0.000680;2.321705
8660;59630;0.000680;2.314740
8680;59558;0.000679;2.315090
8700;59607;0.000678;2.326446
8720;59694;0.000677;2.285573
8740;59556;0.000677;2.289053
8760;59637;0.000676;2.295555
8780;59601;0.000675;2.298664
8800;59586;0.000674;2.293722
8820;59588;0.000673;2.302294
8840;59613;0.000673;2.300307
8860;59652;0.000672;2.307135
8880;59584;0.000671;2.313479
8900;59550;0.000670;2.318261
8920;59620;0.000670;2.316518
8940;59622;0.000669;2.295595
8960;59674;0.000668;2.282039
8980;59631;0.000667;2.278252
9000;59643;0.000667;2.288453
9020;51440;0.000666;2.290655
9040;59696;0.000665;2.300240
9060;59623;0.000664;2.297555
9080;59665;0.000664;2.294014
9100;59609;0.000663;2.308405
9120;59550;0.000662;2.306587
9140;59551;0.000662;2.312741
9160;59626;0.000661;2.314846
9180;59632;0.000660;2.262783
9200;59581;0.000659;2.270896
9220;59663;0.000659;2.280311
9240;59591;0.000658;2.286599
9260;59588;0.000657;2.284171
9280;59649;0.000657;2.285831
